latitude,longitude,number,name,values
45.4167,141.6833,"47401","稚内","0/1.5/0/1/0.5/1.5/1/0.5/0.5/0.5/0/0.5/0/0.5/10.5/3.5/10/1/0.5/1.5/2/0.5/2/4.5/1/1/0.5/3/0/4/2.5/3.5/0.5/0/9.5/1.5/2/7.5/3/1.5/1.5/1.5/6/2.5/4/0/0/0.5/0.5/0/0/0/0/0/0/0/1/0/0/0/0/3/0/0.5/0.5/0/0/0/0/0/4.5/0.5/3.5/0.5/0/0/1/0/0/3.5/9/0/3.5/0/4/1/0/0.5/0/0/0/0/0/0/0.5/1/0/0/0/0/0/0/0/0/2.5/0/0/0/4/0/0/0/0/0.5/2.5/0/0/0/0/0/0.5/24/0/0/0/1.5/8.5/0/1/3/0/0/0/0/0/0/0/0/0/0/6.5/0/0/0/0/0/0/2.5/0/0/0.5/7.5/0/0/0.5/0/0/2/0/0/0/0/4/0/0/0.5/12.5/2/0/0/0.5/0.5/5/3.5/0/0/0/4/0/5.5/0.5/15/12/1/0/0/0/0/0/0/0/0/0/0.5/0/0/0/0/0/0/0/0/0/0/4.5/1.5/13.5/25.5/0/0.5/8.5/5.5/0/0/0/0.5/0/0/2.5/0.5/0/0/2.5/58.5/0.5/0/0/0/29/1/0/30.5/0.5/0/11.5/2.5/2.5/6.5/0/0/0/0/14.5/0/0/0/0/0/0/0/0/0/0/1/4.5/0/1/0/0/0/5.5/17/2/3/0/2.5/0/0/0/0/0/0/0/0/0/0/3/1.5/0.5/0/4.5/9.5/0/0/0/0/2/0/0/0.5/0/0/0/0/0/0/0/0/7/1/0/10/0/15.5/1/1/0.5/2/1/14.5/2.5/3.5/0.5/0/0/0.5/0.5/8.5/4/0/0/2.5/3.5/3.5/0/0/0/0/2/0/14.5/2.5/0/0.5/3/5/2/3/3.5/4.5/2.5/4/1/1.5/0/8/0.5/3/0.5/0/17.5/3/1/1/0.5/0/1/3/0"
45.1833,141.1333,"0002","沓形","2/1.5/0/0/0.5/0/0/0/0/0.5/0/0/0/1/5/0/0/0/0/0/0.5/0/3/1/2.5/0/0/0.5/0/3/0/0/0/0/8.5/0/0/6/0.5/1/1.5/0/1.5/0.5/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/1/0.5/2.5/0/0/0.5/0/0/0/0/0/4.5/0/0.5/0/0/0/0/0/0/10.5/8/0.5/7/0/1/0/2.5/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/3/0/0/0/3.5/0/0/0/0/0/2/0/0/0/0/0/0.5/30.5/0.5/0/0/2/1.5/0/0/0.5/0/0/0/0/0/0/0/0/0/0/10.5/0/0/0/0/0/0/1.5/0/0/3/4.5/0/0/0/0/1.5/1.5/0/0/0/0/2.5/0.5/0/0/17/1/0/0/0/0.5/6/2/0/0/0.5/0/0/2/4/17/4/0.5/0/0/0/0/0/0/0/0/0/0.5/0/0/0/0/0/0/0/0/0/7/9/4/16.5/10.5/1/0.5/8/4.5/0/1.5/0/1/0/0/0.5/0.5/0/0.5/1.5/56.5/0/0/0/0/27/0.5/0/26/0/8.5/11.5/1/1.5/0/0/0/0/0/88/0/1.5/0/0/0/1.5/1.5/0/0/0/20/1.5/0/0/0/0/0/6.5/7/2.5/2/0/2/0/0/0/0/0/0/0/0/0/0/8.5/17/1/0/36/2/0/0/0/0/1/0/0/0/0/1/0/0/0/0/0/0/9/0/0/6.5/0/0/0.5/2.5/0/1.5/0/0/0/0/0/0/0/0.5/0/3/0/0/0/6.5/0/0/0/0/0/3/4.5/0/9/0/0/0/2/3/0/0/2/0/2.5/0/0.5/2.5/0/11.5/0/3/0/0/15.5/0/0/0/0/0/0/0/0"
45.1333,142.3500,"0003","浜頓別","0/1.5/0/0/3.5/3.5/0/0.5/0/0/1/0.5/0/0/0/0/3.5/1/0/2/1.5/0/5.5/6.5/1/0.5/0/0/0.5/0/3.5/1/0/0/2/0.5/1/3/0/0/0.5/1.5/0.5/0.5/0/0/0/0/2/0/0/0/0/0/0/0/0/0/0/0/0/5.5/0/0/5.5/0/0/0/0/0/5.5/0/1/0/0/0/0/0/0/2.5/8/0.5/0.5/0.5/1.5/0/1/0/0/0/0/0/3/0/4.5/0/0/0/0/0/0/0/0/0/7.5/0/0/0/0/0/0/0/0/0.5/0/0/0/0/0/0/0/12.5/0/0/0/0/7.5/0/0/3.5/0.5/0/0/0/0/0/0/0/0/0/2.5/0/0/0/0/0/0/0/0.5/0/0.5/2.5/0/0/0/0/0/1/0/0/0/0/1.5/1.5/0/1/15/5.5/0/0/0/0.5/2/0/0/0/0/1.5/0/5/0/9.5/0.5/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/3.5/9.5/0/0/0/1.5/2/4/54.5/0/2/10.5/1.5/0/0/0/0/0/0/0/2.5/0/0/1/44/1/0/0/0/18.5/3.5/0/7.5/1/2/8/1.5/6.5/1.5/0/10/6/1.5/14.5/0/0/0/0/0/0/0/0/0/0/0/1.5/0/0/0/0/0/5/8/3/4.5/0/7/0.5/0/0/0/0/0/0/0/0/0/5/8/0/0/6/7/0/0/0/0/5/0/0/0/0/4/1/0/0/0/0/0/2/0/0/2/1/12.5/0/0.5/0/0/2.5/7.5/3/1/0/0/0/0/0/6.5/1.5/1.5/0/2/3.5/1.5/0/0/0/1/3/0/3/0/0/0/0/7/2/2/1.5/0/4.5/0/0/1.5/0/4/0/2.5/0/0/3/2.5/2/0/0.5/0/0.5/0/0"
44.9333,142.5833,"47402","北見枝幸","0.5/7.5/0/3.5/10/4/1/1/1.5/2.5/1/0/0/0/2.5/1.5/9/2/0/4/1.5/0/5.5/14/0/0/0/4/2.5/0/6/1/0.5/0/7.5/1.5/3/3.5/0.5/0.5/0/1.5/0/1/0.5/0.5/0/1.5/1.5/0/0/0/0.5/0/0.5/1.5/0/0/0/0/0/8/2/0/4.5/0/0/1.5/0/0.5/8.5/2/5/0/2.5/0/1.5/0/1/6.5/11/1.5/1.5/6.5/3/2.5/0/0/0/0/0/0/1.5/0/7.5/2.5/0.5/0/0/0/0/0/0/0/6.5/0.5/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/17.5/0.5/0/0/0/9.5/1.5/0.5/2.5/3/0/0/0/0/0/0/0/0/0/4/0/0/0/0/0/0/0/0/0/2/2/0/0/0.5/0/0.5/1.5/0/0/0/0/1/2/0/2/24.5/12.5/0/3/0/3.5/1.5/1/0/0/0/9/0/6/0.5/18.5/2/0/0/0/0/0.5/0/1/0/0/0/1.5/0/0/0/0/0/7.5/2.5/0/0/1.5/5.5/2/6/58/0/1/3/0.5/0/0/0/0/0/0/5/4.5/1/0/0.5/28.5/0.5/0/0/0/41.5/3.5/0.5/35.5/2/6/18/3.5/1.5/0/0/24/19.5/0/39.5/1/8/0/0/0/2/0.5/0/0/0/0/1.5/0/0/0/0/1/6.5/12.5/4/1/1/15.5/1/0/0/0/0/0/0/0/0/0/13/11/0/0/11.5/9.5/0/0/0/0/4/0/0.5/0/0/2.5/2/0/0/0/0/0/3.5/1/0/3/3/6/6/2/0/0/8/4.5/3/2/0/0/0.5/0/0/4.5/4.5/12/1.5/6.5/1/2.5/0/0/0/0.5/6/0/2.5/2/0/0/0/13.5/6/10.5/0.5/0/4.5/7/0/1/0.5/6/0/2.5/2.5/0/2/2.5/0/2/2.5/4.5/0.5/0.5/0"
44.8500,142.4833,"0005","歌登","1/2.5/0/4/1/0.5/0/3/0/1/0/0/0/0/0/2/11/0.5/0/4/3.5/0/6/10/1/0/0/5/1.5/0/4.5/0.5/1/0/2.5/2/0/0/0/0/0/2.5/1/0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/12/1.5/0/3.5/0/0/0/0/1.5/9.5/0.5/3/0/0/0/0/0/0/7.5/6.5/0/1.5/7.5/0/0.5/0/0/0.5/0/0/0/1/0/4/0/0/0/0/0/0/0/0/0/2/0/0/0/0.5/0/0/0/0/0.5/0.5/0/0/0/0/0/5.5/18.5/0/0/0/0/10/0/0/1.5/2.5/0/0/0/0/0/0/0/0/0/3/0/0/0/0/0/0/0/0.5/0/2/1.5/0/0/0.5/0/1.5/2.5/0/0/0/0/0.5/1.5/0/0/48/3.5/0/0/0/3/2.5/0.5/0/0/0/9.5/0.5/3.5/0/17.5/0.5/0/0/0/0/0/0/0/0/0/0/0.5/0/1.5/2.5/0/0/6.5/11.5/0/0/0/8.5/1/13.5/55.5/0/0/3.5/0.5/0/0/0/0/0/0/4/7/15/0.5/1/20.5/3/0/0/0/25.5/2.5/0/29/1.5/6.5/9.5/2/1/0/0/17/8.5/1/43/2/2.5/0/0/0/10.5/0/0/0/0/0/0/0/0/0.5/0/1/7/19/10/1/2.5/11.5/1/0/0/0/0/0/0/0/0/0/74.5/9/0/0/9/11/0/0/0/0/8.5/0.5/0/0.5/0/4.5/1/0/0/0/0/0/1.5/0.5/0/4/2.5/8/4.5/2/0/1.5/10/4/9/5/0/0/0/0/0/4/2/7/2/3/3.5/2.5/0.5/0/0/0/5.5/0/2.5/0.5/0.5/0/1/6/2.5/6/1.5/2.5/4.5/4.5/0/1/1/6.5/0/2.5/1/1/3/1.5/0.5/3.5/6/4.5/1/0/0"
44.9667,142.2833,"1051","中頓別","4/2/0/0/2/0/0/2.5/0/1/0/0/0/0/1/2.5/6.5/2.5/0/4/2/0/5.5/11/2.5/0/0/1/3/1.5/11/0/0/0/11/3.5/3/2/1/0/0/8/0/0/0/0/0/2/0.5/0/0/0/0/0/0/0/1/0/0/0/0.5/13/0.5/0/3.5/0/0/0/0/0/2/1/3/0/0/0/0/0/0/3/11.5/0.5/3/9.5/2/1/0/0/1/0/0/0/1/0/5.5/0.5/0/0/0/0/0/0/0/0/5/0/0/0/0.5/0/0/0/0/0/0/0/0/0/0/0/1.5/23/0/0/0/0/8/1/0/3.5/1/0/0/0/0/0/0/0/0/0/6/0/0/0/0/0/0/0/2/0/1/2.5/0/0/0/0/1.5/8.5/0/0/0/0/1/2/0/3/32.5/16/0/0/0/2.5/3/0.5/0/0/0/3.5/0.5/5/0.5/12/2.5/0/0/0/0/0/0/0/0/0/0/0/0/1.5/0/0/0.5/32.5/4.5/0/0/0/6.5/1/8/55.5/0/0/4/3/0/0/0/0/0/0/1/2/0.5/0/0.5/35.5/1.5/0/0/0/18/3.5/0/22/0/8/7.5/3.5/2.5/0/0/17.5/2.5/0/31/7/0/0/0/0/14/0/0/0/0/0/3/0/3.5/1.5/0/0/8.5/18.5/5.5/5.5/2/11.5/0/0/0/0/0/0/0/0/0/0/3/6.5/0/0/9.5/14.5/0/0/0/0/10.5/0/0/0/0/6.5/1.5/0/0/0/0/0/4/0.5/0/4.5/1/10/5.5/2.5/0/0.5/10/5/9.5/3.5/0/0/0/0/0/6.5/1.5/5/1/4.5/7.5/5/0.5/0/0/0.5/5/0/6/0.5/0/0/3/5.5/1/5/1.5/4/13/6.5/0/9.5/0/9/0/4.5/0.5/0/8/3/0.5/3.5/3/6.5/2/0/0"
45.1000,141.7833,"1054","豊富","1.5/1.5/0/0.5/1/1/0.5/3/1/0.5/0.5/0/0/0.5/12/0.5/0/1/0/2.5/1/1/2/5/1/0/0/0/0/4.5/1.5/0/0/0/8/0/2/1/0/1/0.5/0.5/0.5/0/2/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/4.5/0/0/0/0/0/0/0/0/6/0.5/1.5/0/0/0/0/0/0/4.5/7/1/0/2.5/4/1.5/0/0/0/0/0/0/0/0/9.5/0.5/0/0/0/0/0/0/0/0/2/0/0/0/5.5/0/0/0/0/0/2/0/0/0/0/0/1/13/0/0/0/0/10/0/0.5/1.5/0/0/0/0/0/0/0/0/0/0/11/0/0/0/0/0/0/0.5/0.5/0/2/6.5/0.5/0/0/0/1/2/0/0/0/0/1/0.5/0/1/15/2/0/0.5/0/0/5.5/2/0/0/0/2/1/6/0/18.5/4/1/0/0/0/0/0/0/0/0/0/0.5/0/0/0/0/1/0/0/0/0/0.5/9/0/5/79/1.5/0.5/14/10.5/0.5/1/0/0/0/0/0.5/0.5/0/0/0.5/99.5/0/0/0/0/29.5/4.5/0/11/0/0/19/0/0/0/0/0.5/0/0/29.5/1.5/1/0/0/0/0/0/0/0/0/0/2/0/0.5/0.5/0/0/19/6/4/12/4/7/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/3.5/0/0/0/0/7/0.5/0/0/0/2.5/0/0/3/0/0/0/4/0/0/4.5/0.5/12.5/1/1/0/0.5/3/0/3/1/0/0/0/0.5/0/4.5/0/0/0/3/0/0/0.5/0/0/0/4.5/0/15/0/0/0/17.5/5/0.5/0/5/0/4.5/0/2/8/0/5.5/0/4/1/0/16.5/2.5/0/0.5/0/0/0.5/0.5/0"
45.2500,141.8500,"1203","沼川","0.5/0.5/0/0/1.5/4.5/1.5/1.5/0/0/1/0/0/2.5/6.5/3/7/2.5/0/1/3/1.5/2.5/6.5/2/2/0/0.5/0.5/4.5/5.5/5/0/0/6.5/2.5/3/3/3/3/1.5/1/3/0/2/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4/0/0/0.5/0/0/0/0/0/4.5/0/1.5/1/0/0/0/0/0/3.5/8/3/0.5/1/3.5/1/2/0/0/0/0/0/0/0/1.5/1.5/0/0/0/0/0/0/0/0/3/0/0/0/3.5/0/0/0/0/0/2.5/0/0/0/0/0/0.5/14/0/0/0/0/11/0/0/2/0/0/0/0/0/0/0/0/0/0/7.5/0/0/0/0/0/0/1/0.5/0/1/8/0/0/0/0/1/1/0/0/0/0/1/0.5/0/0/14.5/2.5/0/0.5/0/1/3.5/1/0/0/0/2/0/3.5/0.5/13/11.5/1.5/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1.5/0/0.5/0/0/0/8/0/6/16.5/0/1/6/6.5/0/0/0/0/0/0/0.5/0/0/0/1/59/0/0/0/0/14.5/0/0/9/0/1/10.5/2/0.5/1/0/0/0/0/30.5/0/0/0/0/0/0/0/0/0/0/0/1.5/0/0.5/0/0/0/9.5/9/12/5.5/0.5/4.5/0/0/0/0/0/0/0/0/0/0/3/1/0/0/5/3/0/0/0/0/5/0/0/1/0/1/0.5/3/0/0/0/0/4/0/0/4/0.5/8.5/4/2/0/2/3.5/27/2.5/2.5/0.5/0/0/0.5/0/8.5/0/2/1/1.5/0/5.5/0/0/0/0.5/6/0/17.5/1.5/1/0/11.5/5/0/1.5/5.5/0/6/1.5/1/2.5/0/8/0/4/2.5/0/14.5/4.5/1/0.5/0.5/0/1.5/5.5/4.5"
45.5167,141.9333,"1284","宗谷岬","3/0/0/0/3/1/0/0/0.5/0.5/0/0/0/0/1/10/4.5/1.5/0/0/0/0/0/1/0/0/0/0/0/8.5/0/0/0/0/4/0/1.5/2.5/7/2/0.5/0/1/0/0/0/0/0.5/1/0/0/0/1/0.5/0/0/2/0/0/0/1/2.5/0/0/0/0/0/0/0/0/1/0/0/0/0/1/0/0/0/1/5.5/0/1.5/0/3.5/0.5/2/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4/0/0/0/3/0/0/0/0/0/2.5/0/0/0/0/0/0/25.5/0/0/0/0/13/0/1.5/2/0/0/0/0/0/0/0/0/0/0/9.5/0/0/0/0/0/0/1.5/0/0/0/7/0/0/0/0/0/1/0/0/0/0/2.5/0/0.5/0/12.5/1.5/0/0/0/0.5/2.5/2.5/0/0/0/6/0.5/7.5/0.5/10/7.5/0.5/0/0/0/0/0/0/0/0/0/0.5/0/1/0/0/0/0/0/0/0/0/4.5/3.5/9.5/17/0/0.5/11/12/0/0/0/0.5/0.5/0/4.5/1/0/0/2.5/46.5/0.5/0/0/0/33/0/0/3/0.5/1/15/4.5/1.5/11.5/0/0/1/0/6/0/0.5/0/0/0/0/21.5/0/0/0/0/6.5/0/0.5/0/0/0/7.5/10.5/0.5/2/1.5/2.5/0.5/0/0/0/0/0/0/0/0/0/2.5/1.5/0/0/6.5/3.5/0/0/0/0/6.5/0/0/2.5/0/0/0/0/0/0/0/0/4.5/0/0/8/0/5.5/8/2/0/0.5/3.5/9.5/1/4/1/0/0/0/0/6.5/0.5/1/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0.5/1.5/2.5/0.5/0/1.5/0/6/0/2.5/0/0/14/2/0/0/0/0/2/1.5/0"
45.3333,142.1667,"1285","浜鬼志別","0.5/0/0/0/1.5/1.5/0/0/0.5/1/0/0/0/0/3.5/9/8/4/0/0/1/2/3.5/1/0/0/0/0/0/2/5.5/3.5/0.5/0/5.5/3/0.5/1/6/2/3/1.5/1/0/0/0/0/1.5/1.5/0/0/0/0.5/2.5/0/0/0/0/0/0/0/1.5/0/0/0.5/0/0/0/0/0/0.5/0/0.5/0.5/0/0/0/0/0/1/1.5/1/0/0/2/1.5/5/0/0/0/0/0/1/0/1/0/0/0/0/0/0/0/0/0/5/0/0/0/0/0/0/0/0/0/0.5/0/0/0/0/0/0.5/14/0/0/0/0/15/0/0/1.5/0/0/0/0/0/0/0/0/0/0/5/0/0/0/0/0/0/0/0/0/1/4/0/0/0/0/0/0.5/0/0/0/0/1.5/0.5/0/0.5/14/5/0/0/0/0.5/3/0/0/0/0/4/0/5.5/0/9.5/1.5/1.5/0/0/0/0/0/0/0/0/0/0.5/1/0/0/0/0.5/0/5.5/0/0/0/5.5/0.5/4/17/0/0/5.5/1.5/0/0/0/0.5/0/0/2.5/2/0/0/1/31/0.5/0/0/0/37/2.5/0/9/0.5/2/24/4.5/0/0/0/0/2.5/0.5/25.5/2/0/0/0/0/0/0/0/0/0/0/4.5/0/2/0/0/0/4/4.5/4.5/1.5/0/1.5/0/0/0/0/0/0/0/0/0/0/4.5/2/0/0/5.5/2/0/0/0/0/0.5/0/0/2.5/0/1/1.5/0/0/0/0/0/3.5/0/0/4.5/0/5/3/1.5/0/1.5/3.5/11.5/0/0/0/0/0/0.5/0/6.5/0/1/0.5/5.5/0/3/0/0/0/0/1.5/0/8/2/0/0/11/10.5/0/0.5/2.5/0/3/4/1/3.5/0/4.5/0/1.5/0/0/7/3.5/0/0/0/0/0/5.5/1"
